Facility Idenitifier,Hospital and Health Service,Facility Name,Address,Phone Number,Fax Number,Longitude,Latitude
48,Sunshine Coast, Maleny Hospital ,"17 Bean Street, Maleny, 4552",(07) 5420 5000, (07) 5420 5001 ,152.8441669,-26.75476878
49,Sunshine Coast, Nambour Hospital ,"Hospital Road, Nambour, 4560",(07) 5470 6600, (07) 5441 6650 ,152.95119,-26.621
61,Wide Bay, Biggenden Hospital ,"57 Alice Street, Biggenden, 4621",(07) 4127 6400, (07) 4127 6401 ,152.0511493,-25.50590567
62,Wide Bay, Bundaberg Hospital ,"271-275 Bourbong Street, Bundaberg, 4670",(07) 4150 2222, (07) 4150 2159 ,152.3372549,-24.86887594
63,Darling Downs, Cherbourg Hospital ,"Fisher Street, Cherbourg, 4605",(07) 4169 8800, (07) 4169 8801 ,0,0
64,Wide Bay, Childers Hospital ,"44 Broadhurst Street, Childers, 4660",(07) 4192 1133, (07) 4192 1100 ,152.2730645,-25.23945437
65,Wide Bay, Eidsvold Hospital ,"Cracow Road, Eidsvold, 4627",(07) 4165 7100, (07) 4165 7101 ,0,0
66,Wide Bay, Gayndah Hospital ,"69 Warton Street, Gayndah, 4625",(07) 4161 3500, (07) 4161 3599 ,0,0
67,Wide Bay, Gin Gin Hospital ,"5 King Street, Gin Gin, 4671",(07) 4157 2222, (07) 4157 2689 ,151.9539061,-24.98604494
68,Sunshine Coast, Gympie Hospital ,"12 Henry Street, Gympie, 4570",(07) 5489 8444, (07) 5489 8445 ,152.6582403,-26.18434133
69,Wide Bay, Hervey Bay Hospital ,"Cnr Nissen Street & Urraween Road, Pialba, 4655",(07) 4325 6666, (07) 4325 6794 ,0,0
70,Darling Downs, Kingaroy Hospital ,"166 Youngman Street, Kingaroy, 4610",(07) 4162 9200, (07) 4162 9283 ,151.8387651,-26.53215811
71,Wide Bay, Maryborough Hospital ,"185 Walker Street, Maryborough, 4650",(07) 4122 8222, (07) 4123 4154 ,0,0
72,Wide Bay, Monto Hospital ,"35 Flinders Street, Monto, 4630",(07) 4166 9300, (07) 4166 9302 ,151.1126698,-24.86643861
73,Wide Bay, Mount Perry Health Centre (PHC) ,"150 Heussman Street, Mount Perry, 4671",(07) 4156 3222, (07) 4156 3318 ,0,0
74,Wide Bay, Mundubbera Hospital ,"96 Leichhardt Street, Mundubbera, 4626",(07) 4165 5200, (07) 4165 5251 ,151.2938609,-25.58818207
75,Darling Downs, Murgon Hospital ,"Coronation Drive, Murgon, 4605",(07) 4169 9600, (07) 4169 9601 ,0,0
76,Darling Downs, Nanango Hospital ,"135 Brisbane Street, Nanango, 4615",(07) 4171 6700, (07) 4171 6701 ,152.0079954,-26.6662147
77,Darling Downs, Wondai Hospital ,"Bramston Street, Wondai, 4606",(07) 4169 2600, (07) 4169 2601 ,0,0
91,Darling Downs, Chinchilla Hospital ,"Slessar Street, Chinchilla, 4413",(07) 4662 8888, (07) 4662 8816 ,0,0
92,Darling Downs, Dalby Hospital ,"Hospital Road, Dalby, 4405",(07) 4669 0555, (07) 4669 0793 ,0,0
93,Darling Downs, Goondiwindi Hospital ,"Bowen Street, Goondiwindi, 4390",(07) 4578 2400, (07) 4578 2500 ,0,0
94,Darling Downs, Inglewood Hospital ,"Cunningham Highway, Inglewood, 4387",(07) 4652 0888, (07) 4652 0800 ,0,0
95,Darling Downs, Jandowae Hospital ,"13 Dalby Street, Jandowae, 4410",(07) 4668 4555, (07) 4668 4576 ,0,0
97,Darling Downs, Miles Hospital ,"5-11 Colamba Street, Miles, 4415",(07) 4628 5600, (07) 4627 1885 ,150.192137,-26.65921292
98,Darling Downs, Millmerran Hospital ,"50 Commens Street, Millmerran, 4357",(07) 4695 3111, (07) 4695 3100 ,151.2627744,-27.87955684
99,Darling Downs, Oakey Hospital ,"Cnr Beale and Fitzpatrick Streets, Oakey, 4401",(07) 4691 4888, (07) 4691 4833 ,0,0
100,Darling Downs, Stanthorpe Hospital ,"8 Mcgregor Terrace, Stanthorpe, 4380",(07) 4683 3400, (07) 4683 3500 ,151.9286074,-28.66092668
101,Darling Downs, Tara Hospital ,"15 Bilton Street, Tara, 4421",(07) 4678 7900, (07) 4678 7933 ,0,0
102,Darling Downs, Taroom Hospital ,"14 Miller Street, Taroom, 4420",(07) 4628 9900, (07) 4628 9939 ,149.7990341,-25.63850278
103,Darling Downs, Texas Hospital ,"Mingoola Road, Texas, 4385",(07) 4653 3200, (07) 4653 3280 ,0,0
104,Darling Downs, Toowoomba Hospital ,"Pechey Street, Toowoomba, 4350",(07) 4616 6000, (07) 4616 6170 ,0,0
105,Darling Downs, Warwick Hospital ,"56 Locke Street, Warwick, 4370",(07) 4660 3900, (07) 4660 3908 ,152.0179286,-28.22437521
106,Darling Downs, Wandoan Hospital (PHC) ,"14 Henderson Road, Wandoan, 4419",(07) 4627 4444, (07) 4627 4444 ,149.9567008,-26.11981288
111,South West, Augathella Hospital ,"Cavanagh Street, Augathella, 4477",(07) 4656 7100, (07) 4656 7102 ,0,0
112,South West, Charleville Hospital ,"72 King Street, Charleville, 4470",(07) 4650 5000, (07) 4650 5272 ,146.2389295,-26.41062579
113,South West, Cunnamulla Hospital ,"56 Wicks Street, Cunnamulla, 4490",(07) 4655 8100, (07) 4655 8101 ,0,0
114,South West, Dirranbandi Hospital ,"Cnr Jane and Crothers Streets, Dirranbandi, 4486",(07) 4625 8222, (07) 4625 8273 ,0,0
115,South West, Injune Hospital ,"Fifth Avenue, Injune, 4454",(07) 4626 1188, (07) 4626 1414 ,0,0
116,South West, Mitchell Hospital ,"95 Ann Street, Mitchell, 4465",(07) 4623 1277, (07) 4623 1866 ,0,0
117,South West, Mungindi Hospital ,"Barwon Street, Mungindi, 2406",(02) 6705 6100, (02) 6705 6190 ,0,0
118,South West, Quilpie Hospital ,"30 Gyrica Street, Quilpie, 4480",(07) 4656 0100, (07) 4656 0102 ,144.2751641,-26.6171037
119,South West, Roma Hospital ,"197-234 Mcdowall Street, Roma, 4455",(07) 4624 2700, (07) 4624 2711 ,148.7755376,-26.56854691
120,South West, St George Hospital ,"1 Victoria Street, St George, 4487",(07) 4620 2222, (07) 4620 2200 ,148.5928455,-28.02737895
121,South West, Surat Hospital ,"Ivan Street, Surat, 4417",(07) 4626 5166, (07) 4626 5177 ,0,0
122,South West, Thargomindah Hospital (PHC) ,"Dowling Street, Thargomindah, 4492",(07) 4655 3361, (07) 4655 3260 ,0,0
123,South West, Wallumbilla Outpatients Clinic (PHC) ,"Stake Yard Road, Wallumbilla, 4428",(07) 4623 4233, (07) 4623 4170 ,0,0
131,Central West, Alpha Hospital ,"1 Burns Street, Alpha, 4724",(07) 4809 7000, (07) 4809 7099 ,146.6329571,-23.64904908
132,Central Queensland, Baralaba Hospital ,"Stopford Street, Baralaba, 4702",(07) 4998 2800, (07) 4998 1178 ,0,0
133,Central Queensland, Biloela Hospital ,"2 Hospital Road, Biloela, 4715",(07) 4992 7000, (07) 4992 4857 ,150.5176691,-24.39604905
134,Central Queensland, Blackwater Hospital ,"41 Mackenzie Street, Blackwater, 4717",(07) 4980 1800, (07) 4980 1832 ,148.8783236,-23.57151487
135,Central Queensland, Emerald Hospital ,"69 Hospital Road, Emerald, 4720",(07) 4987 9400, (07) 4982 3860 ,0,0
136,Central Queensland, Gladstone Hospital ,"Park Street, Gladstone, 4680",(07) 4976 3200, (07) 4972 3776 ,0,0
139,Central Queensland, Mount Morgan Hospital ,"Black Street, Mount Morgan, 4714",(07) 4912 5100, (07) 4938 1540 ,0,0
140,Central Queensland, Moura Hospital ,"14 Nott Street, Moura, 4718",(07) 4997 2900, (07) 4997 1475 ,149.9764898,-24.57574476
141,Central Queensland, Rockhampton Base Hospital ,"Canning Street, Rockhampton, 4700",(07) 4920 6211, (07) 4920 6335 ,0,0
142,Central Queensland, Springsure Hospital ,"21 Woodbine Street, Springsure, 4722",(07) 4984 1200, (07) 4984 1101 ,148.0848099,-24.11995836
143,Central Queensland, Theodore Hospital ,"The Boulevard, Theodore, 4719",(07) 4990 3000, (07) 4993 1610 ,0,0
144,Central Queensland, Capricorn Coast Hospital ,"8 Hoskyn Drive, Yeppoon, 4703",(07) 4913 3000, (07) 4939 3517 ,150.7336278,-23.14370435
145,Central Queensland, Woorabinda Hospital ,"1 Munns Drive Via Duaringa, Woorabinda, 4713",(07) 4913 2800, (07) 4935 0130 ,0,0
151,Central West, Aramac Primary Healthcare Centre (PHC) ,"17 Mcauliffe Street, Aramac, 4726",(07) 4652 9000, (07) 4652 9099 ,145.2442472,-22.96645922
152,Central West, Barcaldine Hospital ,"25 Oak Street, Barcaldine, 4725",(07) 4650 4000, (07) 4650 4099 ,145.2940846,-23.55335807
153,Central West, Blackall Hospital ,"189 Landsborough Hwy, Blackall, 4472",(07) 4650 7700, (07) 4650 7799 ,0,0
154,Central West, Boulia Primary Health Centre (PHC) ,"Wills Street, Boulia, 4829",(07) 4746 2333, (07) 4746 3306 ,0,0
155,Central West, Jundah Primary Health Centre (PHC) ,"1 Hospital Road, Jundah, 4736",(07) 4658 6188, (07) 4658 6160 ,143.0707972,-24.82053586
156,Central West, Longreach Hospital ,"Jabiru Street, Longreach, 4730",(07) 4658 4700, (07) 4658 1494 ,0,0
157,Central West, Muttaburra Primary Health Centre (PHC) ,"Edkins Street, Muttaburra, 4732",(07) 4658 7500, (07) 4658 7599 ,0,0
158,Central West, Tambo Primary Health Care Centre (PHC) ,"Garden Street, Tambo, 4478",(07) 4621 7100, (07) 4621 7199 ,0,0
159,Central West, Winton Hospital ,"Bloomfield Street, Winton, 4735",(07) 4657 2700, (07) 4657 2799 ,0,0
160,Central West, Isisford Primary Health Centre (PHC) ,"St Helena Street, Isisford, 4731",(07) 4658 8500, (07) 4658 8599 ,0,0
161,Central West, Yaraka Clinic (PHC) ,"Jarley Street, Yaraka, 4731",(07) 4657 5564,,0,0
162,Central West, Windorah Clinic (PHC) ,"15 Victoria Street, Windorah, 4481",(07) 4656 6100, (07) 4656 6199 ,142.65609,-25.42089831
171,Mackay, Clermont Hospital ,"24 Francis Street, Clermont, 4721",(07) 4983 4000, (07) 4983 4001 ,0,0
172,Mackay, Mackay Base Hospital ,"475 Bridge Road, Mackay, 4740",(07) 4885 6000, (07) 4885 6408 ,149.1549217,-21.14686715
173,Mackay, Moranbah Hospital ,"Cnr Elliott Street and Mills Avenue, Moranbah, 4744",(07) 4941 4600, (07) 4941 4610 ,0,0
174,Mackay, Proserpine Hospital ,"26-32 Taylor Street, Proserpine, 4800",(07) 4813 9400, (07) 4813 9480 ,0,0
175,Mackay, Sarina Hospital ,"1 Hospital Street, Sarina, 4737",(07) 4943 8777, (07) 4943 8739 ,0,0
176,Mackay, Dysart Hospital ,"Queen Elizabeth Drive, Dysart, 4745",(07) 4941 1911, (07) 4941 1931 ,0,0
191,Townsville, Ayr Hospital ,"2 Chippendale Street, Ayr, 4807",(07) 4783 0855, (07) 4783 0896 ,0,0
192,Mackay, Bowen Hospital ,"Gregory Street, Bowen, 4805",(07) 4786 8222, (07) 4786 3188 ,0,0
193,Townsville, Charters Towers Hospital ,"137-139 Gill Street, Charters Towers, 4820",(07) 4787 0333, (07) 4787 3255 ,146.2642358,-20.07606936
194,Mackay, Collinsville Hospital ,"81-91 Garrick Street, Collinsville, 4804",(07) 4785 4777, (07) 4785 4799 ,0,0
195,Townsville, Home Hill Hospital ,"Tenth Avenue, Home Hill, 4806",(07) 4790 5700, (07) 4790 5799 ,0,0
196,Townsville, Ingham Hospital ,"2-16 Mcilwraith Street, Ingham, 4850",(07) 4720 3000, (07) 4720 3001 ,146.1645214,-18.65213636
197,Townsville, Joyce Palmer Health Service ,"Beach Road, Palm Island, 4816",(07) 4752 5100, (07) 4752 5151 ,0,0
200,Townsville, Townsville University Hospital ,"100 Angus Smith Drive, Douglas, 4814",(07) 4433 1111, (07) 4433 1197 ,146.7620385,-19.32049812
201,Metro North, Royal Brisbane & Women's Hospital ,"Butterfield Street, Herston, 4006",(07) 3646 8111, (07) 3636 4240 ,0,0
202,Childrens Health Queensland, Queensland Children's Hospital ,"501 Stanley Street, South Brisbane, 4101",(07) 3068 1111, (07) 3068 1119 ,153.0264855,-27.4839842
211,Cairns and Hinterland, Atherton Hospital ,"Cnr Louise & Jack Streets, Atherton, 4883",(07) 4091 0211, (07) 4091 0401 ,0,0
212,Cairns and Hinterland, Babinda Hospital ,"128 Munro Street, Babinda, 4861",(07) 4067 8200, (07) 4067 1641 ,145.9188839,-17.34276795
213,Torres and Cape, Bamaga Hospital ,"82 Sagaukaz Street, Bamaga, 4876",(07) 4069 3166, (07) 4069 3314 ,142.385024,-10.8943286
214,Cairns and Hinterland, Cairns Hospital ,"165 The Esplanade, Cairns, 4870",(07) 4226 0000, (07) 4031 1168 ,0,0
215,Cairns and Hinterland, Chillagoe Hospital (PHC) ,"21 Hospital Road, Chillagoe, 4871",(07) 4094 7500, (07) 4094 7117 ,144.5288924,-17.14975663
216,Torres and Cape, Cooktown Hospital ,"48 Hope Street, Cooktown, 4895",(07) 4043 0100, (07) 4043 0108 ,145.2504154,-15.47774699
217,Cairns and Hinterland, Croydon Hospital (PHC) ,"Sircom Street, Croydon, 4871",(07) 4748 7000, (07) 4745 6162 ,0,0
218,Cairns and Hinterland, Forsayth Hospital (PHC) ,"Fourth Street, Forsayth, 4871",(07) 4062 5372, (07) 4062 5412 ,0,0
219,Cairns and Hinterland, Georgetown Hospital (PHC) ,"High Street, Georgetown, 4871",(07) 4062 1266, (07) 4062 1226 ,0,0
220,Cairns and Hinterland, Gordonvale Hospital ,"1-11 Highleigh Road, Gordonvale, 4865",(07) 4043 3100, (07) 4043 3199 ,145.7862348,-17.0874809
221,Cairns and Hinterland, Herberton Hospital ,"23 Grace Street, Herberton, 4887",(07) 4096 1000, (07) 4096 2451 ,145.3804734,-17.38028061
222,Cairns and Hinterland, Innisfail Hospital ,"87 Rankin Street, Innisfail, 4860",(07) 4016 1411, (07) 4016 1260 ,0,0
223,Cairns and Hinterland, Mareeba Hospital ,"21 Lloyd Street, Mareeba, 4880",(07) 4092 9333, (07) 4092 9160 ,145.4245024,-16.98701486
224,Cairns and Hinterland, Mossman Hospital ,"9 Hospital Street, Mossman, 4873",(07) 4084 1200, (07) 4098 3069 ,145.3681329,-16.46409425
225,Cairns and Hinterland, Mount Garnet Outpatients Clinic (PHC) ,"2 Galena Street, Mount Garnet, 4872",(07) 4097 9101, (07) 4097 9309 ,145.1131028,-17.67920066
226,Torres and Cape, Thursday Island Hospital ,"163 Douglas Street, Thursday Island, 4875",(07) 4069 0200, (07) 4069 0665 ,0,0
227,Cairns and Hinterland, Tully Hospital ,"17 Bryant Street, Tully, 4854",(07) 4068 4144, (07) 4068 2348 ,0,0
228,Torres and Cape, Weipa Hospital ,"LOT 407 John Evans Drive, Weipa, 4874",(07) 4082 3900, (07) 4082 3799 ,0,0
229,Cairns and Hinterland, Yarrabah Emergency Service (PHC) ,"1 Bukki Road, Yarrabah, 4871",(07) 4226 4100, (07) 4056 9360 ,0,0
230,Torres and Cape, Aurukun Primary Health Care Centre (PHC) ,"Kang Kang Road, Aurukun, 4892",(07) 4060 6700, (07) 4060 6163 ,0,0
231,Torres and Cape, Hope Vale Primary Health Care Centre (PHC) ,"Aerodrome Road, Hope Vale, 4895",(07) 4083 8100, (07) 4083 8173 ,0,0
232,Torres and Cape, Wujal Wujal Primary Health Care Centre (PHC) ,"100 Douglas Street, Wujal Wujal, 4895",(07) 4083 9000, (07) 4060 8118 ,0,0
233,Torres and Cape, Lockhart River Primary Health Care Centre (PHC) ,"Paytam Street, Lockhart River, 4892",(07) 4060 7155, (07) 4060 7140 ,0,0
241,North West, Burketown Health Clinic (PHC) ,"1 Hospital Road, Burketown, 4830",(07) 4745 5133, (07) 4745 5188 ,0,0
242,North West, Camooweal Health Clinic (PHC) ,"Nowranie Street, Camooweal, 4828",(07) 4748 2159, (07) 4748 2169 ,0,0
243,North West, Cloncurry Hospital ,"1 Musgrave Street, Cloncurry, 4824",(07) 4742 4500, (07) 4742 1626 ,140.52621,-20.70060308
244,Townsville, Hughenden Hospital ,"12 Richmond Hill Drive, Hughenden, 4821",(07) 4741 2800, (07) 4741 1617 ,144.187703,-20.84358075
245,North West, Julia Creek Hospital ,"1 Burke Street, Julia Creek, 4823",(07) 4746 4000, (07) 4746 7508 ,141.7502071,-20.65596355
246,North West, Mount Isa Hospital ,"30 Camooweal Street, Mount Isa, 4825",(07) 4744 4444, (07) 4745 4575 ,0,0
247,North West, Normanton Hospital ,"199 Brown Street, Normanton, 4890",(07) 4745 2100, (07) 4745 1244 ,0,0
248,Townsville, Richmond Hospital ,"Gallagher Drive, Richmond, 4822",(07) 4741 6100, (07) 4741 3332 ,0,0
249,North West, Mornington Island Hospital ,"Lardil Street, Mornington Island, 4892",(07) 4745 7209, (07) 4745 7288 ,0,0
250,North West, Karumba Health Clinic (PHC) ,"160 Walker Street, Karumba, 4891",(07) 4747 6400, (07) 4745 9295 ,140.8415811,-17.48477841
251,North West, Dajarra Health Clinic (PHC) ,"12 Matheson Street, Dajarra, 4825",(07) 4748 4880, (07) 4748 4841 ,139.5147675,-21.69397125
252,North West, Doomadgee Hospital ,"Sharpe Street, Doomadgee, 4830",(07) 4745 8800, (07) 4745 8144 ,0,0
253,Torres and Cape, Kowanyama Primary Health Care Centre (PHC) ,"Carrington Street, Kowanyama, 4892",(07) 4060 5133, (07) 4060 5140 ,141.7463449,-15.47552329
254,Torres and Cape, Pormpuraaw Primary Health Care Centre (PHC) ,"8 Korka Street, Pormpuraaw, 4892",(07) 4060 4233, (07) 4060 4239 ,0,0
255,Torres and Cape, Coen Primary Health Care Centre (PHC) ,"2 Armbrust Street, Coen, 4892",(07) 4083 5900, (07) 4060 1151 ,143.2012084,-13.94509694
901,South West, Bollon Community Clinic (PHC) ,"37 Main Street, Bollon, 4488",(07) 4625 6105, (07) 4625 6180 ,147.4789292,-28.03127132
905,Central Queensland, Capella Outpatients Clinic (PHC) ,"5 Slider Street, Capella, 4723",(07) 4984 9634, (07) 4984 9268 ,148.0218972,-23.08024938
908,Cairns and Hinterland, Dimbulah Outpatients Clinic (PHC) ,"3-5 Stephens Street, Dimbulah, 4872",(07) 4093 5333, (07) 4093 5127 ,145.1068461,-17.14658699
910,Central Queensland, Duaringa Outpatients Clinic (PHC) ,"Cnr Elizabeth & William Streets, Duaringa, 4712",(07) 4935 7991,,0,0
912,Darling Downs, Glenmorgan Outpatients Clinic (PHC) ,"C/-Queensland Country Women's Assocation Hall, Glenmorgan, 4423",(07) 4626 5233, (07) 4626 5396 ,0,0
913,Central West, Birdsville Primary Health Centre (PHC) ,"22 Adelaide Street, Birdsville, 4482",(07) 4656 3245, (07) 4656 4999 ,0,0
915,Torres and Cape, Laura Primary Health Care Centre (PHC) ,"1 Gladwell Court, Laura, 4892",(07) 4060 3320, (07) 4060 3335 ,0,0
916,Townsville, Magnetic Island Health Service Centre (PHC) ,"76 Sooning Street, Nelly Bay, 4819",(07) 4778 5107, (07) 4758 1974 ,0,0
917,Cairns and Hinterland, Malanda Outpatients Clinic (PHC) ,"15 Catherine Street, Malanda, 4885",(07) 4096 5339, (07) 4096 6481 ,145.5941001,-17.3539826
919,Darling Downs, Meandarra Outpatients Clinic (PHC) ,"Gibson Street, Meandarra, 4422",(07) 4665 6244,,0,0
920,Cairns and Hinterland, Millaa Millaa Outpatients Clinic (PHC) ,"45 Palm Avenue, Millaa Millaa, 4886",(07) 4097 2223, (07) 4097 2541 ,0,0
921,South West, Morven Outpatients Clinic (PHC) ,"Warrego Highway, Morven, 4468",(07) 4654 8288, (07) 4654 8239 ,0,0
924,Cairns and Hinterland, Ravenshoe Outpatients Clinic (PHC) ,"27 Kuradilla Street, Ravenshoe, 4888",(07) 4097 6223, (07) 4097 7095 ,145.4826451,-17.6081406
928,Torres and Cape, Malakoola Primary Health Care Centre (PHC) ,"313 Moun-Ding Street, Napranum, 4874",(07) 4082 3500, (07) 4082 3555 ,0,0
934,Gold Coast, Robina Hospital ,"2 Bayberry Lane, Robina, 4226",(07) 5668 6000,,153.3757041,-28.07104601
935,Darling Downs, Moonie Outpatients Clinic (PHC) ,"Moonie Highway, Moonie, 4406",(07) 4665 0231,,0,0
936,Gold Coast, Gold Coast University Hospital ,"1 Hospital Boulevard, Southport, 4215",1300 744 284, (07) 5687 7880 ,0,0
938,Central West, Bedourie Primary Health Centre (PHC) ,"Kepler Street, Bedourie, 4829",(07) 4746 1226, (07) 4746 1020 ,0,0
940,Central Queensland, Gemfields Outpatients Clinic (PHC) ,"984 Rubyvale Road, Sapphire, 4702",(07) 4985 4547, (07) 4985 4693 ,147.7204342,-23.45354348
942,Torres and Cape, Badu Island Primary Health Care Centre (PHC) ,"181 Tamwoy Street, Badu Island, 4875",(07) 4069 4127, (07) 4069 4986 ,142.166634,-10.165042
943,Torres and Cape, Boigu Island Primary Health Care Centre (PHC) ,"Chambers Street, Boigu Island, 4875",(07) 4069 4153, (07) 4069 4367 ,142.220754,-9.23105706
944,Torres and Cape, Darnley Island Primary Health Care Centre (PHC) ,"Lot 64 The Esplanade, Darnley Island, 4875",(07) 4090 1500, (07) 4069 4370 ,0,0
945,Torres and Cape, Dauan Island Primary Health Care Centre (PHC) ,"Lot 16, Dauan Island, 4875",(07) 4069 4260, (07) 4069 4368 ,0,0
946,Torres and Cape, Coconut Island Primary Health Care Centre (PHC) ,"William Street, Poruma Island, 4875",(07) 4069 4288, (07) 4069 4367 ,0,0
947,Torres and Cape, Mabuiag Island Primary Health Care Centre (PHC) ,"Lot 2 Map Street, Mabuiag Island, 4875",(07) 4090 1200, (07) 4090 1215 ,0,0
948,Torres and Cape, Murray Island Primary Health Centre (PHC) ,"Murray Island, 4875",(07) 4069 4089, (07) 4069 4369 ,0,0
949,Torres and Cape, Saibai Island Primary Health Care Centre (PHC) ,"Saibai Island, 4875",(07) 4069 4252, (07) 4069 4366 ,0,0
950,Torres and Cape, St Paul's Primary Health Care Centre (PHC) ,"Lot 33 Main Street, St Paul's Village, Moa Island, 4875",(07) 4069 4348, (07) 4069 4375 ,0,0
951,Torres and Cape, Stephen Island Primary Health Care Centre (PHC) ,"Lot 10 Orankie Street, Stephens Island, 4875",(07) 4069 4086, (07) 4069 4371 ,0,0
952,Torres and Cape, Warraber Island Primary Health Care Centre (PHC) ,"Cnr Esplanade and Aikuru Streets, Warraber Island, 4875",(07) 4090 1400, (07) 4090 1430 ,0,0
953,Torres and Cape, Yam Island Primary Health Care Centre (PHC) ,"Lot 13 Garth Lane, Yam Island, 4875",(07) 4090 1000, (07) 4090 1015 ,0,0
954,Torres and Cape, Yorke Island Primary Health Care Centre (PHC) ,"Yorke Island, 4875",(07) 4069 4296, (07) 4069 4372 ,0,0
957,Torres and Cape, Injinoo Primary Health Care Centre (PHC) ,"Injinoo, 4876",(07) 4069 3465, (07) 4069 3221 ,0,0
958,Torres and Cape, New Mapoon Health Centre (PHC) ,"Langie-Draha Street, New Mapoon, 4876",(07) 4069 3454, (07) 4069 3308 ,0,0
960,Torres and Cape, Seisia Primary Health Care Centre (PHC) ,"Seisia, 4876",(07) 4069 3271, (07) 4069 3347 ,0,0
961,Torres and Cape, Kubin Primary Health Care Centre (PHC) ,"Lot 77 Kubin Village, Moa Island, 4875",(07) 4090 1100, (07) 4069 1115 ,0,0
962,Torres and Cape, Umagico Primary Health Care Centre (PHC) ,"Umagico, 4876",(07) 4069 3306, (07) 4069 3427 ,0,0
965,Torres and Cape, Mapoon Primary Health Care Centre (PHC) ,"Main Street, Mapoon, 4874",(07) 4082 9400, (07) 4080 9456 ,0,0
966,Torres and Cape, Thursday Island Primary Health Care Centre (PHC) ,"74 Douglas Street, Thursday Island, 4875",(07) 4069 0400, (07) 4069 2045 ,0,0
967,Torres and Cape, Bamaga Primary Health Care Centre (PHC) ,"175 Adidi Street, Bamaga, 4876",(07) 4069 3200, (07) 4069 3332 ,142.3885499,-10.88845721
969,North West, McKinlay Primary Health Clinic ,"24 Wylde Street, McKinlay, 4823",(07) 4725 8868,,0,0
80062,Torres and Cape, Horn Island Primary Health Care Centre (PHC) ,"29 Nawie Street, Horn Island, 4875",(07) 4030 6200, (07) 4069 1436 ,0,0
90034,Townsville, Palm Island Primary Health Care Clinic ,"1 Main Street, Palm Island, 4816",(07) 4752 5900,,0,0
